"";"distrito";"tipo_accidente";"estado_meteorologico";"tipo_vehiculo";"tipo_persona";"rango_edad";"sexo";"positiva_alcohol";"positiva_droga";"grado_lesividad";"categoria_lesividad";"mes";"partes_dia"
"16345";"VILLA DE VALLECAS";"Colisión frontal";"Despejado";"Furgoneta";"Pasajero";"De 35 a 39 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Tarde"
"16346";"VILLA DE VALLECAS";"Colisión frontal";"Despejado";"Turismo";"Conductor";"De 18 a 20 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Tarde"
"16349";"FUENCARRAL-EL PARDO";"Alcance";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Noche"
"16350";"FUENCARRAL-EL PARDO";"Alcance";"Despejado";"Turismo";"Conductor";"De 45 a 49 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"July";"Noche"
"16351";"FUENCARRAL-EL PARDO";"Alcance";"Despejado";"Turismo";"Conductor";"De 45 a 49 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Noche"
"16352";"FUENCARRAL-EL PARDO";"Alcance";"Despejado";"Turismo";"Pasajero";"De 18 a 20 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"July";"Noche"
"16353";"FUENCARRAL-EL PARDO";"Alcance";"Despejado";"Turismo";"Pasajero";"De 55 a 59 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Noche"
"16354";"FUENCARRAL-EL PARDO";"Alcance";"Despejado";"Turismo";"Pasajero";"Más de 74 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Noche"
"16355";"PUENTE DE VALLECAS";"Atropello a persona";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Tarde"
"16356";"PUENTE DE VALLECAS";"Atropello a persona";"Despejado";"Turismo";"Peatón";"De 30 a 34 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"July";"Tarde"
"16363";"TETUÁN";"Caída";"Despejado";"Bicicleta";"Conductor";"De 30 a 34 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria inmediata en centro de salud o mutua";"July";"Noche"
"16364";"SAN BLAS-CANILLEJAS";"Colisión lateral";"Despejado";"Furgoneta";"Conductor";"De 21 a 24 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Tarde"
"16365";"SAN BLAS-CANILLEJAS";"Colisión lateral";"Despejado";"Furgoneta";"Pasajero";"De 21 a 24 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Tarde"
"16366";"SAN BLAS-CANILLEJAS";"Colisión lateral";"Despejado";"Motocicleta > 125cc";"Conductor";"De 35 a 39 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"July";"Tarde"
"16367";"CIUDAD LINEAL";"Colisión lateral";"Despejado";"Motocicleta hasta 125cc";"Conductor";"De 35 a 39 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria inmediata en centro de salud o mutua";"July";"Noche"
"16368";"CIUDAD LINEAL";"Colisión lateral";"Despejado";"Turismo";"Conductor";"De 60 a 64 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Noche"
"16375";"TETUÁN";"Atropello a persona";"Despejado";"Turismo";"Conductor";"De 45 a 49 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Noche"
"16376";"TETUÁN";"Atropello a persona";"Despejado";"Turismo";"Peatón";"De 10 a 14 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"July";"Noche"
"16377";"TETUÁN";"Atropello a persona";"Despejado";"Turismo";"Peatón";"De 6  a  9 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"July";"Noche"
"16378";"RETIRO";"Alcance";"Despejado";"Ciclomotor";"Conductor";"De 45 a 49 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"July";"Noche"
"16379";"RETIRO";"Alcance";"Despejado";"Turismo";"Conductor";"De 21 a 24 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Noche"
"16380";"RETIRO";"Alcance";"Despejado";"Turismo";"Pasajero";"De 18 a 20 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Noche"
"16383";"CENTRO";"Alcance";"Despejado";"Bicicleta";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"July";"Noche"
"16384";"CENTRO";"Alcance";"Despejado";"Motocicleta hasta 125cc";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Leve";"Asistencia en urgencias sin posterior ingreso";"July";"Noche"
"16388";"CHAMBERÍ";"Caída";"Despejado";"Motocicleta hasta 125cc";"Conductor";"De 25 a 29 años";"Mujer";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"July";"Noche"
"16392";"CHAMARTÍN";"Caída";"Despejado";"Motocicleta > 125cc";"Conductor";"De 55 a 59 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"July";"Tarde"
"16393";"BARAJAS";"Colisión fronto-lateral";"Despejado";"Bicicleta";"Conductor";"De 40 a 44 años";"Hombre";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"July";"Tarde"
"16394";"BARAJAS";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 30 a 34 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Tarde"
"16400";"ARGANZUELA";"Alcance";"Despejado";"Turismo";"Conductor";"De 21 a 24 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Tarde"
"16401";"ARGANZUELA";"Alcance";"Despejado";"Turismo";"Conductor";"De 65 a 69 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Tarde"
"16402";"ARGANZUELA";"Alcance";"Despejado";"Turismo";"Pasajero";"De 70 a 74 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Tarde"
"16403";"CIUDAD LINEAL";"Caída";"Nublado";"Motocicleta hasta 125cc";"Conductor";"De 45 a 49 años";"Hombre";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"July";"Mañana"
"16404";"CIUDAD LINEAL";"Caída";"Nublado";"Turismo";"Conductor";"De 60 a 64 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Mañana"
"16405";"RETIRO";"Caída";"Desconocido";"Bicicleta";"Conductor";"De 30 a 34 años";"Hombre";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"July";"Noche"
"16407";"SALAMANCA";"Atropello a persona";"Despejado";"Motocicleta hasta 125cc";"Peatón";"De 70 a 74 años";"Mujer";"N";"No realizado";"Grave";"Ingreso superior a 24 horas";"July";"Mañana"
"16408";"VILLA DE VALLECAS";"Atropello a persona";"Despejado";"Turismo";"Conductor";"De 40 a 44 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Mañana"
"16409";"VILLA DE VALLECAS";"Atropello a persona";"Despejado";"Turismo";"Peatón";"De 70 a 74 años";"Mujer";"N";"No realizado";"Grave";"Ingreso superior a 24 horas";"July";"Mañana"
"16410";"LATINA";"Atropello a persona";"Despejado";"Camión rígido";"Conductor";"De 40 a 44 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Tarde"
"16411";"LATINA";"Atropello a persona";"Despejado";"Camión rígido";"Peatón";"Más de 74 años";"Mujer";"N";"No realizado";"Grave";"Ingreso superior a 24 horas";"July";"Tarde"
"16412";"RETIRO";"Alcance";"Despejado";"Bicicleta";"Conductor";"De 30 a 34 años";"Hombre";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"July";"Madrugada"
"16413";"RETIRO";"Alcance";"Despejado";"Turismo";"Conductor";"De 55 a 59 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Madrugada"
"16414";"RETIRO";"Alcance";"Despejado";"Turismo";"Pasajero";"De 50 a 54 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Madrugada"
"16417";"SALAMANCA";"Colisión múltiple";"Despejado";"Furgoneta";"Conductor";"De 40 a 44 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"July";"Tarde"
"16418";"SALAMANCA";"Colisión múltiple";"Despejado";"Furgoneta";"Pasajero";"De 30 a 34 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"July";"Tarde"
"16419";"SALAMANCA";"Colisión múltiple";"Despejado";"Todo terreno";"Conductor";"De 65 a 69 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"July";"Tarde"
"16420";"SALAMANCA";"Colisión múltiple";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"July";"Tarde"
"16421";"SALAMANCA";"Colisión múltiple";"Despejado";"Turismo";"Conductor";"De 65 a 69 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Tarde"
"16422";"SALAMANCA";"Colisión múltiple";"Despejado";"Turismo";"Conductor";"Más de 74 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Tarde"
"16423";"SALAMANCA";"Colisión múltiple";"Despejado";"Turismo";"Pasajero";"De 25 a 29 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"July";"Tarde"
"16424";"SALAMANCA";"Colisión múltiple";"Despejado";"Turismo";"Pasajero";"De 65 a 69 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Tarde"
"16425";"USERA";"Alcance";"Despejado";"Motocicleta > 125cc";"Conductor";"De 60 a 64 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Mañana"
"16426";"USERA";"Alcance";"Despejado";"Turismo";"Conductor";"De 40 a 44 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Mañana"
"16427";"CIUDAD LINEAL";"Atropello a persona";"Despejado";"Turismo";"Conductor";"De 55 a 59 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Tarde"
"16428";"CIUDAD LINEAL";"Atropello a persona";"Despejado";"Turismo";"Peatón";"Más de 74 años";"Mujer";"N";"No realizado";"Leve";"Asistencia en urgencias sin posterior ingreso";"July";"Tarde"
"16429";"BARAJAS";"Caída";"Despejado";"Autobús";"Conductor";"De 50 a 54 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Tarde"
"16430";"BARAJAS";"Caída";"Despejado";"Autobús";"Pasajero";"De 21 a 24 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"July";"Tarde"
"16431";"BARAJAS";"Caída";"Despejado";"Turismo";"Conductor";"De 50 a 54 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Tarde"
"16432";"LATINA";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"July";"Tarde"
"16433";"LATINA";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 35 a 39 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"July";"Tarde"
"16434";"CIUDAD LINEAL";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 45 a 49 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"July";"Tarde"
"16435";"CIUDAD LINEAL";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 70 a 74 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Tarde"
"16436";"CIUDAD LINEAL";"Colisión fronto-lateral";"Despejado";"Turismo";"Pasajero";"De 55 a 59 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Tarde"
"16441";"MORATALAZ";"Caída";"Despejado";"VMU eléctrico";"Conductor";"De 18 a 20 años";"Hombre";"N";"No realizado";"Leve";"Asistencia ambulatoria con posterioridad";"July";"Tarde"
"16447";"SALAMANCA";"Alcance";"Despejado";"Turismo";"Conductor";"De 45 a 49 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Tarde"
"16448";"SALAMANCA";"Alcance";"Despejado";"Turismo";"Conductor";"De 60 a 64 años";"Hombre";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"July";"Tarde"
"16450";"SALAMANCA";"Alcance";"Despejado";"Turismo";"Conductor";"De 21 a 24 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Tarde"
"16451";"SALAMANCA";"Alcance";"Despejado";"Turismo";"Conductor";"De 50 a 54 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"July";"Tarde"
"16452";"VILLAVERDE";"Colisión fronto-lateral";"Despejado";"Bicicleta";"Conductor";"De 30 a 34 años";"Hombre";"N";"No realizado";"Leve";"Asistencia en urgencias sin posterior ingreso";"July";"Noche"
"16453";"VILLAVERDE";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 50 a 54 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Noche"
"16456";"RETIRO";"Caída";"Despejado";"Motocicleta hasta 125cc";"Conductor";"De 40 a 44 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"July";"Tarde"
"16457";"PUENTE DE VALLECAS";"Colisión fronto-lateral";"Despejado";"Furgoneta";"Conductor";"De 35 a 39 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria inmediata en centro de salud o mutua";"July";"Noche"
"16458";"PUENTE DE VALLECAS";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 40 a 44 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria inmediata en centro de salud o mutua";"July";"Noche"
"16461";"MONCLOA-ARAVACA";"Colisión fronto-lateral";"Despejado";"Motocicleta > 125cc";"Conductor";"De 55 a 59 años";"Hombre";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"July";"Noche"
"16462";"MONCLOA-ARAVACA";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 30 a 34 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Noche"
"16463";"MONCLOA-ARAVACA";"Colisión fronto-lateral";"Despejado";"Turismo";"Pasajero";"De 35 a 39 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Noche"
"16464";"VILLA DE VALLECAS";"Caída";"Despejado";"Bicicleta";"Conductor";"De 40 a 44 años";"Hombre";"N";"No realizado";"Leve";"Asistencia en urgencias sin posterior ingreso";"July";"Noche"
"16465";"USERA";"Alcance";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"July";"Tarde"
"16466";"USERA";"Alcance";"Despejado";"Turismo";"Conductor";"De 45 a 49 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"July";"Tarde"
"16472";"CHAMBERÍ";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 30 a 34 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"July";"Noche"
"16473";"CHAMBERÍ";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 30 a 34 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"July";"Noche"
"16474";"PUENTE DE VALLECAS";"Caída";"Despejado";"Motocicleta > 125cc";"Conductor";"De 40 a 44 años";"Hombre";"S";"No realizado";"Leve";"Asistencia en urgencias sin posterior ingreso";"July";"Madrugada"
"16482";"CARABANCHEL";"Colisión fronto-lateral";"Despejado";"Camión rígido";"Conductor";"De 35 a 39 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Madrugada"
"16483";"CARABANCHEL";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 30 a 34 años";"Hombre";"S";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Madrugada"
"16484";"CARABANCHEL";"Colisión fronto-lateral";"Despejado";"Turismo";"Pasajero";"De 25 a 29 años";"Mujer";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"July";"Madrugada"
"16487";"CHAMARTÍN";"Colisión fronto-lateral";"Despejado";"Camión rígido";"Conductor";"De 45 a 49 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Mañana"
"16488";"CHAMARTÍN";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 40 a 44 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"July";"Mañana"
"16489";"CHAMARTÍN";"Colisión fronto-lateral";"Despejado";"Turismo";"Pasajero";"De 25 a 29 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Mañana"
"16490";"CHAMARTÍN";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 40 a 44 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"July";"Tarde"
"16491";"CHAMARTÍN";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 40 a 44 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"July";"Tarde"
"16492";"SALAMANCA";"Caída";"Despejado";"Motocicleta hasta 125cc";"Conductor";"De 35 a 39 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Tarde"
"16495";"CHAMARTÍN";"Caída";"Despejado";"Ciclomotor";"Conductor";"De 21 a 24 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"July";"Madrugada"
"16496";"PUENTE DE VALLECAS";"Caída";"Despejado";"VMU eléctrico";"Conductor";"De 50 a 54 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"July";"Madrugada"
"16497";"CIUDAD LINEAL";"Alcance";"Despejado";"Furgoneta";"Conductor";"De 21 a 24 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Mañana"
"16498";"CIUDAD LINEAL";"Alcance";"Despejado";"Furgoneta";"Pasajero";"De 40 a 44 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Mañana"
"16499";"CIUDAD LINEAL";"Alcance";"Despejado";"Turismo";"Conductor";"De 30 a 34 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Mañana"
"16509";"CARABANCHEL";"Colisión fronto-lateral";"Despejado";"Motocicleta > 125cc";"Conductor";"De 30 a 34 años";"Hombre";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"July";"Mañana"
"16510";"CARABANCHEL";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 30 a 34 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Mañana"
"16511";"MORATALAZ";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 21 a 24 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Mañana"
"16512";"MORATALAZ";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 50 a 54 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"July";"Mañana"
"16514";"SALAMANCA";"Caída";"Despejado";"Motocicleta hasta 125cc";"Conductor";"De 50 a 54 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"July";"Tarde"
"16515";"CHAMARTÍN";"Alcance";"Despejado";"Turismo";"Conductor";"De 30 a 34 años";"Mujer";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"July";"Tarde"
"16516";"CHAMARTÍN";"Alcance";"Despejado";"Turismo";"Conductor";"De 55 a 59 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Tarde"
"16517";"CHAMARTÍN";"Alcance";"Despejado";"Turismo";"Pasajero";"De 25 a 29 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Tarde"
"16518";"CHAMARTÍN";"Alcance";"Despejado";"Turismo";"Pasajero";"De 30 a 34 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"July";"Tarde"
"16522";"SALAMANCA";"Otro";"Despejado";"Camión rígido";"Conductor";"De 45 a 49 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Tarde"
"16525";"SALAMANCA";"Alcance";"Despejado";"Turismo";"Conductor";"De 30 a 34 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Tarde"
"16526";"SALAMANCA";"Alcance";"Despejado";"Turismo";"Conductor";"De 35 a 39 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Tarde"
"16529";"LATINA";"Caída";"Despejado";"Motocicleta > 125cc";"Conductor";"De 60 a 64 años";"Hombre";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"July";"Tarde"
"16530";"LATINA";"Caída";"Despejado";"Turismo";"Conductor";"De 65 a 69 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Tarde"
"16531";"LATINA";"Caída";"Despejado";"Turismo";"Conductor";"Más de 74 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Tarde"
"16540";"ARGANZUELA";"Caída";"Despejado";"Motocicleta hasta 125cc";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"July";"Tarde"
"16542";"VICÁLVARO";"Colisión fronto-lateral";"Despejado";"Motocicleta > 125cc";"Conductor";"De 45 a 49 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"July";"Tarde"
"16543";"VICÁLVARO";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 65 a 69 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Tarde"
"16544";"CARABANCHEL";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 21 a 24 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"July";"Tarde"
"16545";"CARABANCHEL";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 70 a 74 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Tarde"
"16546";"CARABANCHEL";"Colisión fronto-lateral";"Despejado";"Turismo";"Pasajero";"De 65 a 69 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria inmediata en centro de salud o mutua";"July";"Tarde"
"16547";"CARABANCHEL";"Caída";"Despejado";"Bicicleta";"Conductor";"De 18 a 20 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"July";"Tarde"
"16548";"VICÁLVARO";"Alcance";"Despejado";"Furgoneta";"Conductor";"De 45 a 49 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Tarde"
"16549";"VICÁLVARO";"Alcance";"Despejado";"Turismo";"Conductor";"De 45 a 49 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Tarde"
"16550";"FUENCARRAL-EL PARDO";"Alcance";"Despejado";"Motocicleta > 125cc";"Conductor";"Más de 74 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"July";"Tarde"
"16551";"FUENCARRAL-EL PARDO";"Alcance";"Despejado";"Turismo";"Conductor";"De 35 a 39 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Tarde"
"16552";"LATINA";"Alcance";"Despejado";"Furgoneta";"Conductor";"De 55 a 59 años";"Hombre";"N";"No realizado";"Leve";"Asistencia en urgencias sin posterior ingreso";"July";"Madrugada"
"16553";"LATINA";"Alcance";"Despejado";"Furgoneta";"Pasajero";"De 60 a 64 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Madrugada"
"16555";"VILLAVERDE";"Colisión lateral";"Despejado";"Camión rígido";"Conductor";"De 35 a 39 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Noche"
"16556";"VILLAVERDE";"Colisión lateral";"Despejado";"Turismo";"Conductor";"De 50 a 54 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"July";"Noche"
"16558";"PUENTE DE VALLECAS";"Caída";"Despejado";"VMU eléctrico";"Conductor";"De 21 a 24 años";"Hombre";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"July";"Tarde"
"16560";"TETUÁN";"Atropello a persona";"Despejado";"VMU eléctrico";"Peatón";"De 55 a 59 años";"Mujer";"N";"No realizado";"Leve";"Asistencia en urgencias sin posterior ingreso";"July";"Noche"
"16563";"CHAMBERÍ";"Caída";"Despejado";"Bicicleta EPAC (pedaleo asistido)";"Conductor";"De 55 a 59 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria inmediata en centro de salud o mutua";"July";"Noche"
"16564";"BARAJAS";"Caída";"Despejado";"Motocicleta > 125cc";"Conductor";"De 50 a 54 años";"Hombre";"N";"No realizado";"Leve";"Asistencia en urgencias sin posterior ingreso";"July";"Noche"
"16565";"SAN BLAS-CANILLEJAS";"Atropello a persona";"Despejado";"Turismo";"Conductor";"De 45 a 49 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Noche"
"16566";"SAN BLAS-CANILLEJAS";"Atropello a persona";"Despejado";"Turismo";"Peatón";"De 50 a 54 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria inmediata en centro de salud o mutua";"July";"Noche"
"16567";"VILLAVERDE";"Colisión fronto-lateral";"Despejado";"Bicicleta";"Conductor";"De 10 a 14 años";"Hombre";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"July";"Noche"
"16568";"VILLAVERDE";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"July";"Noche"
